ZIPCODE,Vehicle Count,The State Federal Information Processing System (FIPS) code,The State associated with the ZIP code,Number of returns [3],Number of single returns,Number of joint returns,Number of head of household returns,Number of electronically filed returns,Number of computer prepared paper returns,Number of returns with paid preparer's signature,Number of returns with direct deposit,Number of returns with virtual currency indicator,Number of individuals [4],Total number of volunteer prepared returns [5],Number of volunteer income tax assistance (VITA) prepared returns [5],Number of tax counseling for the elderly (TCE) prepared returns [5],Number of refund anticipation check returns [6],Number of elderly returns [7],Salaries and wages amount,Taxable interest amount,Ordinary dividends amount,Qualified dividends amount [9],State and local income tax refunds amount,Business or professional net income (less loss) amount,Net capital gain (less loss) amount,Taxable individual retirement arrangements distributions amount,Taxable pensions and annuities amount,Number of farm returns,Unemployment compensation amount [10],Taxable Social Security benefits amount,Partnership/S-corp net income (less loss) amount,Educator expenses amount,Self-employed (Keogh) retirement plans amount,Self-employed health insurance deduction amount,Individual retirement arrangement payments amount,Student loan interest deduction amount,Charitable contributions if took standard deduction,Basic standard deduction amount,Additional standard deduction amount,Total medical and dental expense deduction amount,State and local income taxes amount,State and local general sales tax amount,Real estate taxes amount,Personal property taxes amount,Limited state and local taxes,Home mortgage interest paid amount,Home mortgage from personal seller amount,Deductible points amount,Qualified mortgage insurance premiums amount,Investment interest paid amount,Total charitable contributions amount,Other non-limited miscellaneous deductions amount,Qualified business income deduction,Excess advance premium tax credit repayment amount,Foreign tax credit amount,Child and dependent care credit amount,Nonrefundable education credit amount,Retirement savings contribution credit amount,Nonrefundable child and other dependent credit amount,Residential energy tax credit amount,Self-employment tax amount,Advance premium tax credit amount,Earned income credit amount [12]  ,Excess earned income credit (refundable) amount [13]  ,Refundable child tax credit or additional child tax credit amount,Refundable education credit amount,Net premium tax credit amount,"Qualified sick and family leave credit for leave taken before April 1, 2021 amount",Refundable child and dependent care credit,"Qualified sick and family leave credit for leave taken after March 31, 2021",Recovery rebate credit amount [15],"Economic impact payment third round amount [16, 17]",Additional Medicare tax amount,Net investment income tax amount,Credited to next year’s estimated tax amount
2842,1,44,RI,8680.0,4850.0,2830.0,750.0,8070.0,360.0,4420.0,5190.0,390.0,14330.0,250.0,0.0,250.0,1020.0,2870.0,471300.0,4052.0,21279.0,14613.0,208.0,38782.0,89148.0,28766.0,67696.0,0.0,14009.0,31816.0,58234.0,54.0,2230.0,2304.0,881.0,350.0,1119.0,130040.0,3809.0,4598.0,8375.0,103.0,6299.0,109.0,7619.0,8073.0,0.0,38.0,115.0,125.0,6801.0,701.0,12919.0,244.0,265.0,62.0,460.0,82.0,440.0,371.0,5374.0,1249.0,1838.0,1313.0,4385.0,223.0,160.0,0.0,494.0,0.0,668.0,15925.0,519.0,2498.0,4943.0
2909,1,44,RI,21620.0,12570.0,3640.0,5000.0,20700.0,510.0,14510.0,16730.0,630.0,37620.0,590.0,560.0,30.0,3880.0,2180.0,692706.0,1034.0,2646.0,1796.0,150.0,38519.0,17588.0,3664.0,17232.0,0.0,67786.0,8728.0,10671.0,49.0,281.0,324.0,415.0,552.0,1249.0,336411.0,2325.0,984.0,2143.0,0.0,1424.0,169.0,3285.0,3003.0,0.0,0.0,406.0,0.0,2349.0,219.0,5849.0,626.0,33.0,81.0,1145.0,303.0,1053.0,490.0,6096.0,7637.0,16335.0,12074.0,20049.0,754.0,470.0,248.0,1487.0,151.0,2866.0,47603.0,53.0,229.0,448.0
6355,1,9,CT,6920.0,3590.0,2810.0,410.0,6510.0,200.0,3820.0,3760.0,310.0,11510.0,90.0,30.0,60.0,540.0,3010.0,464239.0,5607.0,49147.0,39784.0,247.0,43823.0,100327.0,60982.0,84194.0,0.0,9795.0,43153.0,41046.0,50.0,4362.0,2783.0,1114.0,253.0,1106.0,102944.0,3797.0,11843.0,13525.0,96.0,7415.0,394.0,9644.0,6549.0,0.0,23.0,122.0,750.0,9336.0,871.0,11082.0,165.0,528.0,49.0,308.0,40.0,315.0,326.0,5756.0,2036.0,773.0,529.0,2355.0,140.0,478.0,0.0,368.0,0.0,548.0,11325.0,889.0,3263.0,4882.0
6371,1,9,CT,5210.0,2450.0,2300.0,340.0,4790.0,200.0,3100.0,2530.0,200.0,9290.0,50.0,0.0,50.0,250.0,2290.0,444223.0,6287.0,69047.0,59269.0,109.0,45251.0,180193.0,45929.0,56958.0,0.0,7020.0,33009.0,58517.0,44.0,4146.0,3064.0,844.0,167.0,868.0,78057.0,2988.0,5748.0,22089.0,54.0,8402.0,354.0,7919.0,7937.0,0.0,24.0,37.0,824.0,16764.0,1197.0,12700.0,153.0,2416.0,0.0,234.0,24.0,274.0,295.0,6272.0,1568.0,531.0,355.0,2150.0,130.0,331.0,0.0,235.0,0.0,465.0,8052.0,1304.0,6463.0,11520.0
6443,2,9,CT,9100.0,4060.0,4390.0,440.0,8430.0,340.0,5460.0,4180.0,440.0,17270.0,140.0,0.0,140.0,420.0,3610.0,985867.0,9912.0,81621.0,57992.0,148.0,102396.0,292420.0,74410.0,87808.0,0.0,10578.0,53942.0,170665.0,89.0,11383.0,5812.0,1386.0,335.0,1643.0,133247.0,4622.0,8308.0,43784.0,147.0,19470.0,853.0,16295.0,18130.0,371.0,156.0,172.0,980.0,21841.0,1778.0,27097.0,209.0,1197.0,78.0,571.0,35.0,593.0,385.0,13197.0,2507.0,623.0,414.0,3957.0,311.0,598.0,0.0,652.0,0.0,752.0,12722.0,3468.0,9352.0,16393.0
8540,1,34,NJ,21640.0,9590.0,10090.0,1350.0,20080.0,780.0,12680.0,9560.0,1530.0,43040.0,230.0,100.0,130.0,850.0,6020.0,3494859.0,54450.0,298184.0,229053.0,709.0,197653.0,1334533.0,178806.0,159546.0,62.0,27420.0,98745.0,557267.0,111.0,28899.0,11843.0,3399.0,470.0,3169.0,300907.0,6479.0,26304.0,258782.0,855.0,88948.0,414.0,44473.0,52054.0,1007.0,176.0,36.0,11093.0,116505.0,26272.0,55024.0,468.0,25611.0,174.0,1274.0,90.0,1640.0,922.0,28459.0,4528.0,2210.0,1546.0,9147.0,666.0,752.0,101.0,1352.0,143.0,2216.0,25987.0,15637.0,49897.0,77500.0
8641,1,34,NJ,1600.0,500.0,860.0,110.0,1570.0,20.0,450.0,1430.0,200.0,3960.0,0.0,0.0,0.0,290.0,0.0,84612.0,47.0,352.0,182.0,0.0,168.0,1973.0,0.0,1395.0,0.0,1040.0,0.0,0.0,0.0,0.0,0.0,31.0,60.0,134.0,30918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,2.0,0.0,126.0,138.0,54.0,0.0,64.0,0.0,814.0,598.0,2697.0,62.0,0.0,0.0,434.0,0.0,323.0,5213.0,0.0,0.0,0.0
12833,1,36,NY,2270.0,1040.0,970.0,210.0,2200.0,30.0,1140.0,1480.0,70.0,4230.0,0.0,0.0,0.0,310.0,690.0,144891.0,682.0,2949.0,2150.0,25.0,10768.0,14065.0,6704.0,18214.0,0.0,4166.0,8263.0,15289.0,10.0,654.0,646.0,231.0,68.0,294.0,36929.0,916.0,182.0,3852.0,0.0,1701.0,0.0,2084.0,2338.0,0.0,0.0,0.0,0.0,1291.0,0.0,3526.0,0.0,45.0,0.0,133.0,16.0,141.0,16.0,1411.0,99.0,568.0,409.0,1411.0,74.0,0.0,0.0,133.0,0.0,229.0,4764.0,144.0,340.0,702.0
13603,1,36,NY,3420.0,580.0,2410.0,180.0,3370.0,30.0,1310.0,3140.0,350.0,9950.0,0.0,0.0,0.0,980.0,0.0,170663.0,120.0,308.0,180.0,0.0,393.0,2934.0,95.0,1360.0,0.0,2297.0,0.0,0.0,5.0,0.0,0.0,125.0,177.0,199.0,73440.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,21.0,0.0,287.0,324.0,125.0,0.0,176.0,0.0,3006.0,2254.0,7605.0,140.0,0.0,0.0,548.0,0.0,840.0,13254.0,0.0,0.0,0.0
20002,2,11,DC,37000.0,25730.0,5780.0,4380.0,34990.0,980.0,13810.0,24500.0,2730.0,54440.0,380.0,270.0,110.0,6510.0,3990.0,3240307.0,6130.0,42254.0,30015.0,2052.0,120149.0,173002.0,33548.0,118288.0,0.0,45345.0,25643.0,175691.0,150.0,16311.0,4928.0,1981.0,1794.0,3056.0,439530.0,3721.0,12521.0,114716.0,503.0,32299.0,579.0,63084.0,87397.0,1372.0,552.0,787.0,867.0,43908.0,2227.0,24916.0,147.0,3198.0,252.0,2396.0,187.0,1230.0,1127.0,22496.0,1020.0,10483.0,7885.0,15751.0,694.0,289.0,443.0,2765.0,513.0,3844.0,49455.0,5664.0,4577.0,11785.0
20111,2,51,VA,19060.0,9710.0,6210.0,2520.0,17500.0,970.0,11020.0,12220.0,910.0,36090.0,130.0,30.0,100.0,1800.0,3070.0,1036702.0,3094.0,9610.0,7220.0,897.0,53734.0,41227.0,19536.0,82197.0,0.0,12177.0,26286.0,48139.0,85.0,1220.0,1643.0,1332.0,452.0,1550.0,278518.0,3257.0,7030.0,17651.0,224.0,13881.0,1418.0,23185.0,27924.0,344.0,261.0,1461.0,46.0,14122.0,1858.0,12273.0,479.0,132.0,156.0,1222.0,192.0,1338.0,252.0,9038.0,8297.0,7589.0,4948.0,15669.0,750.0,415.0,79.0,1344.0,120.0,2673.0,38732.0,499.0,991.0,892.0
20152,1,51,VA,16100.0,6070.0,8490.0,1100.0,15310.0,480.0,7980.0,8760.0,1600.0,37070.0,70.0,20.0,50.0,880.0,2240.0,1918785.0,7351.0,24289.0,17125.0,923.0,65155.0,202849.0,26699.0,64411.0,0.0,13124.0,18885.0,154741.0,122.0,5796.0,4233.0,2581.0,291.0,1866.0,212286.0,2128.0,6500.0,55006.0,568.0,28062.0,3374.0,42226.0,61017.0,862.0,534.0,383.0,749.0,32692.0,2598.0,32397.0,496.0,1710.0,253.0,1339.0,94.0,1875.0,627.0,10258.0,8468.0,2344.0,1501.0,13702.0,814.0,467.0,134.0,2056.0,178.0,1824.0,27283.0,3064.0,6081.0,10057.0
20637,1,24,MD,3060.0,1330.0,1270.0,290.0,2770.0,160.0,1600.0,1860.0,130.0,5800.0,0.0,0.0,0.0,340.0,890.0,231602.0,712.0,2512.0,1641.0,391.0,4865.0,8248.0,5855.0,41074.0,20.0,1852.0,9085.0,5843.0,17.0,0.0,375.0,243.0,64.0,329.0,36724.0,821.0,1837.0,9432.0,84.0,5251.0,55.0,8772.0,10980.0,211.0,104.0,347.0,0.0,6704.0,390.0,2387.0,0.0,17.0,34.0,144.0,15.0,273.0,44.0,1172.0,243.0,518.0,364.0,1942.0,82.0,26.0,0.0,273.0,0.0,383.0,5456.0,123.0,207.0,1333.0
20653,1,24,MD,11340.0,5800.0,3190.0,1960.0,10650.0,360.0,4410.0,8170.0,630.0,20880.0,100.0,30.0,70.0,2410.0,1910.0,637788.0,2125.0,7616.0,5181.0,731.0,10023.0,19665.0,12778.0,75489.0,21.0,8884.0,17910.0,6433.0,51.0,0.0,274.0,584.0,344.0,940.0,163964.0,1985.0,4484.0,14447.0,63.0,4963.0,145.0,13891.0,13048.0,102.0,117.0,713.0,175.0,9723.0,998.0,2476.0,121.0,38.0,59.0,555.0,131.0,613.0,185.0,2190.0,1166.0,5548.0,4291.0,9715.0,339.0,107.0,31.0,1071.0,67.0,1602.0,23638.0,97.0,413.0,880.0
20732,1,24,MD,5190.0,2350.0,2010.0,660.0,4870.0,170.0,2310.0,3370.0,240.0,10050.0,30.0,0.0,30.0,700.0,1250.0,378781.0,1013.0,6074.0,4767.0,518.0,8978.0,14923.0,12831.0,47606.0,0.0,4175.0,14050.0,7388.0,40.0,558.0,623.0,271.0,192.0,578.0,69281.0,1261.0,2788.0,11540.0,79.0,4842.0,85.0,11120.0,12099.0,90.0,119.0,434.0,0.0,6471.0,1262.0,2814.0,46.0,42.0,66.0,299.0,32.0,392.0,167.0,1565.0,394.0,957.0,692.0,4103.0,177.0,66.0,0.0,742.0,0.0,665.0,10275.0,158.0,309.0,764.0
